"","chr11.70319544.70313962..","chr11.70333825.70331419..","chr11.70335453.70335433..","chr11.70336492.70336271..","chr11.70338570.70338440..","chr11.70346698.70346675..","chr11.70348391.70348311..","chr11.70349036.70348901..","chr11.70506057.70505933..","chr11.70507923.70507701..","SHANK2","tail","logRatio","aveIntensity","binbox","probability"
"TCGA-CV-5439-01A",1.4537,1.0493,0.0071,0.3586,0.5736,0,0.6056,0.6315,1.3025,0.4948,1.86,1.3025,0.158446198563537,1.3781,5,0.543370644641777
"TCGA-CV-5440-01A",5.3471,3.8067,0.0091,1.2081,4.0097,0.008,3.5028,3.1208,2.8464,1.476,6.5051,4.0097,0.415262357531127,4.6784,8,0.497316957327276
"TCGA-CV-5441-01A",0.0186,0.0232,0,0.072,0.1093,0,0.0206,0.0588,0,0,0.0284,0.1093,-2.55491887456387,0.06395,1,0.0412990543665917
"TCGA-CV-5442-01A",0.0097,0.032,0,0,0,0,0,0,0.0287,0.0207,0.0235,0.032,-1.72201525270023,0.02085,1,0.180101354937631
"TCGA-CV-5443-01A",0.3829,0.1351,0,0.0447,0.278,0,0.0485,0.1415,0.0795,0,0.4013,0.278,0.461882777239291,0.33045,2,0.319799979962321
"TCGA-CV-5444-01A",0.8079,0.5423,0,0.2787,0.4666,0,1.0843,0.8989,0.7468,0.2279,1.0375,1.0843,-0.424515335624345,0.9461,4,0.404377895842465
"TCGA-CV-5966-01A",0.2658,0.1787,0,0,0,0,0,0,0,0,0.3135,0.1787,0.572801470234684,0.22225,2,0.237133600943548
"TCGA-CV-5970-01A",4.5034,3.6922,0.0214,1.5249,3.2791,0,3.7191,3.796,3.6078,1.4422,5.9399,3.796,0.246534633752236,4.1497,7,0.350061634470318
"TCGA-CV-5971-01A",0.2878,0.1595,0.0342,0.1557,0.2684,0,0.0605,0.1688,0.2277,0.0778,0.3385,0.2684,0.100681920540114,0.2781,2,0.700315192829147
"TCGA-CV-5973-01A",2.5048,0.152,0,0,0,0,0.0355,0.0386,0.0488,0.0456,2.0498,0.152,4.04255218480772,1.3284,5,7.29781533944463e-19
"TCGA-CV-5976-01A",5.0446,3.0709,0.0367,1.1615,2.2047,0.0054,3.1373,2.5837,2.5232,1.071,5.804,3.1373,0.68521638716062,4.09095,7,0.0422323974493852
"TCGA-CV-5977-01A",0.7821,0.2534,0.1249,0.0354,0.339,0,0.5199,0.1157,0.2674,0.047,0.7859,0.5199,0.589118928375387,0.651,3,0.213340057997592
"TCGA-CV-5978-01A",0.6275,0.433,0,0.2246,0.3789,0,0.6156,0.3495,0.5984,0.1129,0.7649,0.6156,0.0276222273972864,0.62155,3,0.787916847058025
"TCGA-CV-5979-01A",4.7315,3.0079,0.0457,0.6374,2.252,0,2.9927,2.0775,3.6853,1.0885,5.5411,3.6853,0.360515559351334,4.2084,8,0.5417134523179
"TCGA-CV-6003-01A",1.1628,0.5371,0,0.0596,0.566,0.0861,0.4764,0.5371,1.1036,0.2898,1.3301,1.1036,0.0753856147829644,1.1332,5,0.666445263937553
"TCGA-CV-6436-01A",0.0591,0.0097,0,0,0,0,0,0,0.093,0,0.0579,0.093,-0.654072585817861,0.07605,1,0.65789880516705
"TCGA-CV-6441-01A",0.0182,0.0195,0,0,0,0,0,0.0348,0.0783,0.0051,0.0278,0.0783,-2.10507385709234,0.04825,1,0.0964303182010418
"TCGA-CV-6933-01A",1.8986,1.1652,0,0.3618,1.0797,0.0045,0.6027,0.9887,1.7801,0.8864,2.3611,1.7801,0.092977699068542,1.83935,6,0.678274633140165
"TCGA-CV-6933-11A",3.625,3.2572,0.0214,1.296,3.0776,0.0038,2.9695,2.7797,3.4249,1.5685,4.8589,3.4249,0.081919130152292,3.52495,7,0.601034991868738
"TCGA-CV-6934-01A",3.8707,2.832,0.0182,1.1526,2.4947,0,2.3566,1.7507,2.278,1.0287,4.7045,2.832,0.450773229942632,3.35135,7,0.148432915960703
"TCGA-CV-6934-11A",2.438,2.2578,0,0.5975,1.9449,0.0249,1.8025,1.6182,2.1643,1.0275,3.2504,2.2578,0.110780430718537,2.3479,7,0.551797232463015
"TCGA-CV-6935-01A",1.6804,1.4201,0,0.4665,1.23,0,1.0698,0.99,0.8971,0.3172,2.1131,1.4201,0.242812166542029,1.55025,6,0.485763693963811
"TCGA-CV-6935-11A",0.1636,0.1832,0,0.1532,0.0433,0,0.207,0.0382,0.1483,0.1764,0.2747,0.207,-0.339458019444939,0.1853,1,0.858427499886655
"TCGA-CV-6936-01A",1.7374,1.2458,0,0.4594,1.12,0,0.9996,1.2462,1.7193,0.7309,2.2606,1.7193,0.015108640550999,1.72835,6,0.788594298980249
"TCGA-CV-6936-11A",0.1024,0.0743,0.0358,0.0102,0.0316,0,0.1423,0.0894,0.01,0.0736,0.1363,0.1423,-0.474719946526482,0.12235,1,0.770235716405854
"TCGA-CV-6937-01A",9.2947,4.0267,0,0.8776,3.1166,0,1.9066,2.4114,1.8674,0.7453,9.4352,4.0267,1.20681030918991,6.6607,8,0.0951137349170931
"TCGA-CV-6942-01A",0.4201,0.2628,0,0.0838,0.2472,0,0.2513,0.4619,0.5351,0.0582,0.4827,0.5351,-0.349075743114845,0.4776,3,0.699961225838391
"TCGA-CV-6943-01A",1.0169,1.018,0,0.2492,0.9451,0,0.8212,0.9941,0.9142,0.4384,1.4517,1.018,-0.00155974711244303,1.01745,4,0.724457727038171
"TCGA-CV-6945-01A",12.2203,3.0567,0.0356,0.8503,1.6519,0,1.7416,1.9052,2.1934,0.794,11.2378,3.0567,1.99923283187071,7.6385,8,0.00780447517778131
"TCGA-CV-6948-01A",0.2792,0.1158,0,0.0793,0.1227,0,0.0661,0.1674,0.1294,0.0707,0.2969,0.1674,0.737999413659309,0.2233,2,0.143972102319635
"TCGA-CV-6950-01A",2.687,2.0434,0.0189,0.6749,1.8395,0,2.1329,1.9581,1.7578,0.9221,3.5488,2.1329,0.333179994156439,2.40995,7,0.249694075004804
"TCGA-CV-6956-01A",0.5174,0.3107,0,0.0403,0.3001,0,0.7147,0.5244,0.6144,0.2611,0.6618,0.7147,-0.466057734250665,0.61605,3,0.55613584237454
"TCGA-CV-6956-11A",0.0273,0.0422,0,0,0,0,0,0,0.0677,0,0.045,0.0677,-1.31025488265514,0.0475,1,0.320052370259357
"TCGA-CV-6959-01A",2.2135,2.7174,0.0259,0.9372,2.3627,0,2.6358,2.7005,2.5118,1.0204,3.5224,2.7174,-0.29589757178604,2.46545,7,0.673265203828856
"TCGA-CV-6960-01A",3.7877,2.6112,0,0.8752,1.6511,0,1.9792,1.7552,2.9181,1.5187,4.972,2.9181,0.376292744853691,3.3529,7,0.20807388691452
"TCGA-CV-6960-11A",0.1982,0.2282,0,0.0393,0.1345,0,0.1502,0.1402,0.2702,0.1344,0.326,0.2702,-0.447070712139197,0.2342,2,0.589116886107046
"TCGA-CV-6961-01A",2.1765,2.2317,0.0049,0.6029,1.9492,0,2.1885,1.4788,2.0322,0.6953,3.1177,2.2317,-0.0361330833847159,2.2041,7,0.819825760232197
"TCGA-CV-6961-11A",0.1974,0.2077,0,0.0185,0.0648,0,0.1193,0.1614,0.1546,0.0571,0.2992,0.2077,-0.07337922638825,0.20255,1,0.96389349179424
"TCGA-CV-6962-01A",1.2828,1.2074,0,0.2072,0.78,0,1.2539,1.346,0.9471,0.4824,1.79,1.346,-0.0693821510560327,1.3144,5,0.902050053480845
"TCGA-CV-6962-11A",0.7507,0.7376,0,0.2718,0.4751,0,0.4632,0.501,0.8114,0.4074,1.0723,0.8114,-0.112176819547296,0.78105,4,0.966306629213167
"TCGA-CV-7089-01A",1.0353,0.5284,0,0.1328,0.5932,0,0.4248,0.2696,0.6557,0.3515,1.1898,0.6557,0.658941079632644,0.8455,4,0.0274452199020431
"TCGA-CV-7090-01A",0.2804,0.2595,0,0.1467,0.2864,0,0.2122,0.22,0.3068,0.1572,0.4127,0.3068,-0.12981213349231,0.2936,2,0.996529788723097
"TCGA-CV-7091-01A",1.414,1.0958,0,0.4362,0.5491,0,0.9286,1.0196,1.163,0.4852,1.8544,1.163,0.28193102333618,1.2885,5,0.384076885553874
"TCGA-CV-7091-11A",0.1901,0.2046,0,0.0348,0.1063,0,0.0674,0.0415,0.1054,0.0371,0.2541,0.2046,-0.106047613096777,0.19735,1,0.985790565864602
"TCGA-CV-7095-01A",1.9006,1.6949,0,0.4242,1.2865,0,1.6583,1.8416,1.488,0.6282,2.5565,1.8416,0.0454951959612992,1.8711,6,0.744896733980183
"TCGA-CV-7097-01A",0.2444,0.3714,0,0.0978,0.4866,0,0.5124,0.2523,0.3754,0.062,0.4488,0.5124,-1.06802619052292,0.3784,2,0.112117305581608
"TCGA-CV-7097-11A",1.8839,1.2028,0,0.4267,1.2786,0,1.5708,1.2826,1.2899,0.5476,2.2425,1.5708,0.262222883631502,1.72735,6,0.463176390429085
"TCGA-CV-7099-01A",0.8016,0.4368,0,0.1092,0.3919,0,0.2453,0.5092,0.8371,0.1013,0.9154,0.8371,-0.0625174689456342,0.81935,4,0.855952400220622
"TCGA-CV-7100-01A",1.1127,0.7513,0,0.2726,0.716,0,0.7232,0.7097,1.1614,0.3918,1.3312,1.1614,-0.0618002654785234,1.13705,5,0.889291527356902
"TCGA-CV-7101-01A",0.9554,0.8711,0.025,0.397,0.5274,0,0.7945,0.9348,0.8027,0.3245,1.3424,0.9348,0.0314471426884402,0.9451,4,0.656256524833404
"TCGA-CV-7101-11A",0.7534,0.671,0.0058,0.1879,0.5768,0,0.5436,0.6323,0.5938,0.2975,1.0148,0.671,0.167103266859847,0.7122,4,0.409039374210907
"TCGA-CV-7102-01A",2.2003,1.7261,0,0.4506,1.5568,0,1.7249,1.2571,1.83,0.6362,2.9106,1.83,0.265856592970289,2.01515,6,0.45901403461255
"TCGA-CV-7103-01A",0.1495,0.0835,0,0.0869,0.1628,0,0.2758,0.0747,0.0975,0.0194,0.1796,0.2758,-0.883476972428513,0.21265,1,0.525014370589978
"TCGA-CV-7103-11A",0.2756,0.3208,0,0.0635,0.2689,0,0.1095,0.2168,0.3549,0.134,0.4189,0.3549,-0.364836686356653,0.31525,2,0.688240186177345
"TCGA-CV-7104-01A",1.4235,1.4051,0.0259,0.5282,1.5344,0.0045,1.48,1.289,1.5357,0.9238,2.3493,1.5357,-0.109453919082909,1.4796,5,0.969824281948778
"TCGA-CV-7177-01A",0.902,0.9063,0.0122,0.3208,1.1166,0,1.041,1.1985,1.4623,0.6064,1.3155,1.4623,-0.697039980981969,1.18215,5,0.225464930521899
"TCGA-CV-7177-11A",0.8468,0.74,0,0.1516,0.3413,0,0.302,0.3908,0.6855,0.2935,1.1172,0.74,0.194495998603915,0.7934,4,0.366834672128192
"TCGA-CV-7178-01A",2.0126,1.9153,0,0.4319,1.4727,0.0049,1.4247,1.1366,1.693,0.7477,2.7188,1.9153,0.0714900840404297,1.96395,6,0.708149599473761
"TCGA-CV-7178-11A",0.9546,0.6081,0,0.3039,0.427,0,0.9682,0.6528,0.9281,0.2979,1.1867,0.9682,-0.0204087578086518,0.9614,4,0.764452967196851
"TCGA-CV-7180-01A",0.3068,0.1031,0,0.0515,0.0436,0,0.0727,0.0827,0.0686,0.0384,0.3194,0.1031,1.57325415013483,0.20495,1,0.15291909849087
"TCGA-CV-7183-01A",0.4187,0.3224,0,0.201,0.4123,0,0.4005,0.4706,0.31,0.208,0.5751,0.4706,-0.168584402483995,0.44465,3,0.942738669389478
"TCGA-CV-7183-11A",0.1154,0.1191,0,0,0,0,0,0.0588,0.3068,0.079,0.195,0.3068,-1.41065525885745,0.2111,1,0.280704194165419
"TCGA-CV-7235-01A",1.2488,1.0125,0,0.2492,0.4118,0,0.5924,0.7034,0.6112,0.4255,1.5849,1.0125,0.302620534431197,1.13065,5,0.360495564913863
"TCGA-CV-7235-11A",6.1016,5.5602,0.0323,2.1773,5.0361,0,5.2866,5.1876,5.2551,1.8953,8.1898,5.5602,0.134050827349924,5.8309,8,0.743747100494758
"TCGA-CV-7236-01A",1.8857,1.7669,0.0316,0.7456,1.8979,0,2.0779,1.8125,2.0696,0.9372,2.7717,2.0779,-0.140026052612016,1.9818,6,0.980779700616516
"TCGA-CV-7238-01A",1.6392,0.7991,0,0.3238,0.8136,0,0.935,0.9317,0.8283,0.4774,1.7975,0.935,0.809953619348885,1.2871,5,0.0461898460949838
"TCGA-CV-7238-11A",1.8818,1.9056,0.0062,0.5065,1.3828,0,2.4216,2.2053,1.5154,0.6748,2.5839,2.4216,-0.363847275453258,2.1517,7,0.554150115642358
"TCGA-CV-7242-01A",0.6117,0.5315,0,0.1285,0.7606,0,0.6061,0.4196,0.8883,0.2636,0.9089,0.8883,-0.538222715160957,0.75,4,0.249007895009562
"TCGA-CV-7242-11A",0.1453,0.0672,0,0.0429,0.1179,0,0.1207,0.0657,0.0019,0.0179,0.1747,0.1207,0.26760902687782,0.133,1,0.739983162689481
"TCGA-CV-7243-01A",2.3185,1.2923,0,0.2545,0.7663,0,0.5886,0.7651,0.7766,0.3452,2.4935,1.2923,0.843250704458172,1.8054,6,0.0675329016859088
"TCGA-CV-7245-01A",1.3632,1.4177,0,0.5488,0.8244,0,0.9535,1.3166,1.6001,0.4945,2.0031,1.6001,-0.231164830058658,1.48165,5,0.825027828530664
"TCGA-CV-7245-11A",0.0707,0.0612,0,0,0,0,0.0313,0.1643,0.1991,0.0393,0.0996,0.1991,-1.4937111009111,0.1349,1,0.250742054938398
"TCGA-CV-7247-01A",6.1085,4.7905,0.0295,1.5075,3.5965,0,3.5563,3.5846,7.1485,2.9131,8.1838,7.1485,-0.226822390733951,6.6285,8,0.900847267941015
"TCGA-CV-7248-01A",1.1546,0.7583,0.0163,0.3435,0.9512,0,1.146,0.8137,0.867,0.3737,1.4261,1.146,0.0107860863635178,1.1503,5,0.769054931346413
"TCGA-CV-7250-01A",0.412,0.2854,0,0.0379,0.1232,0,0.1126,0.1947,0.3788,0.0841,0.5032,0.3788,0.121208006602195,0.3954,2,0.674808210542962
"TCGA-CV-7250-11A",0.1974,0.2191,0,0.036,0.2338,0,0.6865,0.1665,0.1518,0.0791,0.3131,0.6865,-1.79813773057807,0.44195,3,0.00370027056334681
"TCGA-CV-7252-01A",0.6311,0.497,0,0.1603,0.2379,0,0.2723,0.2731,0.8129,0.3893,0.8066,0.8129,-0.365209264730523,0.722,4,0.504464171062186
"TCGA-CV-7252-11A",0.3154,0.1599,0,0.0295,0.1596,0,0.1032,0.2777,0.5318,0.1369,0.3689,0.5318,-0.753701117067157,0.4236,3,0.276472830891507
"TCGA-CV-7253-01A",0.0018,0.0062,0,0,0,0,0,0,0,0,0.0047,0.0062,-1.78427130894456,0.004,1,0.163689208546735
"TCGA-CV-7254-01A",0.2973,0.1786,0,0.03,0.0752,0,0.0908,0.2031,0.4242,0.0604,0.4083,0.4242,-0.512825157622911,0.36075,2,0.514944294799975
"TCGA-CV-7255-01A",0.3698,0.481,0,0.1773,0.4664,0,0.6797,0.4471,0.513,0.1862,0.6915,0.6797,-0.8781528980726,0.52475,3,0.192072946202977
"TCGA-CV-7255-11A",0.6033,0.4108,0,0.2932,0.2435,0,0.6326,0.7174,0.6039,0.1903,0.7537,0.7174,-0.249902162931017,0.66035,3,0.831255862042479
"TCGA-CV-7261-01A",1.2884,1.0361,0.0087,0.3822,0.7136,0,0.526,0.7751,1.0255,0.5534,1.6124,1.0361,0.314417313251251,1.16225,5,0.347465827432066
"TCGA-CV-7261-11A",0.2618,0.2948,0,0.155,0.2652,0,0.4122,0.4347,0.3872,0.126,0.4302,0.4347,-0.731554998332845,0.34825,2,0.307474356500039
"TCGA-CV-7263-01A",0.2822,0.2375,0,0.0848,0.1703,0,0.1585,0.2978,0.3928,0.0497,0.3756,0.3928,-0.477076941717429,0.3375,2,0.554661866736389
"TCGA-CV-7406-01A",0.6344,0.4717,0,0.1648,0.4039,0,0.7932,0.4496,0.4254,0.2106,0.8295,0.7932,-0.32229190652487,0.7138,4,0.584306877721395
"TCGA-CV-7406-11A",0.1087,0.1404,0,0.0288,0.0487,0,0.1576,0.0284,0.1224,0.0233,0.1778,0.1576,-0.535915594429067,0.13315,1,0.731220280952263
"TCGA-CV-7407-01A",2.5025,1.4892,0.0124,0.5645,1.1322,0,1.5972,1.4327,1.5316,0.5321,2.8855,1.5972,0.64782509197767,2.04985,6,0.144293662005904
"TCGA-CV-7410-01A",0.7426,0.7288,0,0.123,0.2142,0,0.8841,0.9608,0.9991,0.3051,1.0521,0.9991,-0.428043769515606,0.87085,4,0.398823187965495
"TCGA-CV-7411-01A",0.2326,0.2159,0,0.0758,0.0827,0,0.0597,0.2126,0.1152,0.0904,0.3313,0.2159,0.107487853450713,0.22425,2,0.691818471849101
"TCGA-CV-7413-01A",0.3272,0.2365,0,0.1408,0.2406,0,0.2319,0.2176,0.1523,0.0254,0.397,0.2406,0.443536105765672,0.2839,2,0.335102951276168
"TCGA-CV-7414-01A",3.4883,1.9905,0,0.622,1.738,0,1.6704,1.7036,2.2919,0.6937,3.955,2.2919,0.605980021876347,2.8901,7,0.0667842658760036
"TCGA-CV-7415-01A",9.0254,3.9184,0.0396,1.4944,2.7663,0,2.5163,2.7991,3.2849,1.3518,9.2874,3.9184,1.2037261937308,6.4719,8,0.0958808641915606
"TCGA-CV-7416-01A",2.0829,2.3202,0.0122,0.8761,1.8633,0.0053,2.6986,1.9973,2.6753,0.9164,3.2632,2.6986,-0.373617571898863,2.39075,7,0.537907993822764
"TCGA-CV-7416-11A",0.1554,0.1037,0,0.0681,0.2023,0,0.1162,0.0619,0.0614,0.0455,0.202,0.2023,-0.380509816150573,0.17885,1,0.831419704938554
"TCGA-CV-7418-01A",1.6327,1.1851,0,0.4538,0.8219,0,0.6465,0.8874,1.0112,0.4482,2.0823,1.1851,0.462250927254556,1.4089,5,0.209842832489971
"TCGA-CV-7421-01A",0.6792,0.5003,0,0.2212,0.5783,0,0.2875,0.5725,0.7474,0.1088,0.8465,0.7474,-0.138044104827706,0.7133,4,0.975817078615608
"TCGA-CV-7422-01A",1.222,1.0761,0.0115,0.3802,1.1353,0,1.511,0.8222,0.9118,0.6049,1.7661,1.511,-0.306259375346099,1.3665,5,0.703330030644999
"TCGA-CV-7423-01A",0.9246,0.8895,0,0.3356,0.7008,0,0.782,0.8033,1.3181,0.5123,1.4324,1.3181,-0.511558559435891,1.12135,5,0.413611105443801
"TCGA-CV-7423-11A",0.134,0.0492,0,0.0289,0.1471,0,0,0.4722,0.3928,0.2064,0.2165,0.4722,-1.81716504088351,0.3031,2,0.0043193196095098
"TCGA-CV-7424-01A",0.0971,0.0312,0,0.0341,0.1367,0,0.1146,0.0975,0.0233,0,0.1034,0.1367,-0.493470042186868,0.1169,1,0.758214424462431
"TCGA-CV-7424-11A",0.5062,0.6121,0,0.1731,0.1516,0,0.4808,0.3727,0.324,0.2059,0.7901,0.6121,-0.27405986069588,0.55915,3,0.798678879136054
"TCGA-CV-7427-01A",0.0495,0.0574,0,0.0271,0,0,0.1483,0.1104,0.1732,0.0713,0.0877,0.1732,-1.80693849975975,0.11135,1,0.158002172456525
"TCGA-CV-7428-01A",0.1349,0.1015,0,0.0298,0.1009,0,0,0.089,0.0617,0.0179,0.1839,0.1015,0.410410620875729,0.1182,1,0.65133870772215
"TCGA-CV-7429-01A",0.1591,0.1249,0,0.0199,0.1532,0,0.0896,0.0764,0.0945,0.0536,0.2247,0.1532,0.0545175384060906,0.15615,1,0.878581217372916
"TCGA-CV-7430-01A",1.083,0.9562,0,0.3798,0.9891,0.0101,0.9373,1.1549,1.385,0.4648,1.5369,1.385,-0.354852733328223,1.234,5,0.628243788151375
"TCGA-CV-7432-01A",0.1319,0.232,0.0064,0.0024,0.2632,0,0.3015,0.3059,0.2759,0.0921,0.2576,0.3059,-1.21361554230666,0.2189,1,0.361177861942153
"TCGA-CV-7432-11A",7.2179,4.5432,0.067,1.3573,3.2526,0.0059,3.1052,3.1734,4.4801,1.888,8.3016,4.5432,0.66787033875881,5.88055,8,0.319856049526707
"TCGA-CV-7433-01A",0.6185,0.4454,0.0059,0.0841,0.4501,0,0.6204,0.3311,0.5175,0.2594,0.7792,0.6204,-0.00442509117235854,0.61945,3,0.831057917045221
"TCGA-CV-7434-01A",1.6679,1.7667,0.0059,0.5667,0.8625,0,1.083,0.5965,1.2383,0.6768,2.3513,1.7667,-0.0830242856777088,1.7173,6,0.933626475316849
"TCGA-CV-7434-11A",5.7235,4.1837,0.0062,1.9985,3.9037,0,4.7055,3.8049,5.0211,2.2375,7.0473,5.0211,0.188894187039841,5.3723,8,0.692466930588704
"TCGA-CV-7435-01A",1.0729,1.0024,0,0.272,0.821,0,0.9575,1.2182,1.2906,0.4301,1.4855,1.2906,-0.266526315103523,1.18175,5,0.766996171746373
"TCGA-CV-7437-01A",0.2439,0.1569,0,0,0.1084,0,0.0785,0.0054,0.2887,0.1108,0.3692,0.2887,-0.243281349439798,0.2663,2,0.844634296200155
"TCGA-CV-7437-11A",0.2623,0.2259,0,0.0385,0.1098,0,0.0745,0.1065,0.1561,0.0807,0.3815,0.2259,0.2155335368719,0.2441,2,0.562690775101772
"TCGA-CV-7438-01A",2.7599,1.9231,0,0.658,1.8473,0,1.3358,1.3248,1.6426,0.6557,3.2347,1.9231,0.521182210626771,2.3415,7,0.104992084194951
"TCGA-CV-7438-11A",0.5281,0.3545,0.0062,0.1475,0.3178,0,0.2932,0.3061,0.5982,0.1428,0.6455,0.5982,-0.179816769047913,0.56315,3,0.927221868649063
"TCGA-CV-7440-01A",0.0503,0.0473,0,0.0188,0.0192,0,0.0964,0.0636,0.1595,0.0982,0.0932,0.1595,-1.6649261188467,0.1049,1,0.196198416408528
"TCGA-CX-7082-01A",0.5252,0.3678,0,0.1488,0.2727,0,0.5394,0.085,0.22,0.1124,0.6373,0.5394,-0.0384886053427166,0.5323,3,0.877475115646849
"TCGA-CX-7085-01A",0.2764,0.3516,0.0065,0.2113,0.2509,0,0.3788,0.2788,0.6492,0.3309,0.5022,0.6492,-1.23190538415971,0.4628,3,0.0549842714052899
"TCGA-CX-7086-01A",0.1412,0.2598,0,0.1117,0.0838,0,0.3493,0.399,0.2274,0.0927,0.3039,0.399,-1.49864865783853,0.2701,2,0.0205606206441626
"TCGA-CX-7219-01A",0.578,0.5772,0.0116,0.3316,0.4743,0,0.1884,0.1732,0.5703,0.3969,0.8646,0.5772,0.00199819289684277,0.5776,3,0.822365697328546
"TCGA-D6-6515-01A",0.5095,0.5208,0,0.2281,0.2435,0,0.2437,0.3313,0.5939,0.1033,0.7385,0.5939,-0.221137886235373,0.5517,3,0.870421877321734
"TCGA-D6-6516-01A",0.1198,0.0765,0,0.0351,0.1386,0,0.1341,0.0902,0.1411,0.0034,0.1859,0.1411,-0.236090079808479,0.13045,1,0.927100513332136
"TCGA-D6-6517-01A",2.1855,1.7574,0.038,0.3329,0.9028,0,1.5122,1.4801,1.3001,0.7906,2.8372,1.7574,0.314520779072508,1.97145,6,0.405329768531284
"TCGA-D6-6823-01A",0.2491,0.1861,0,0.0537,0.1178,0,0.0703,0.0922,0.1922,0.0706,0.3142,0.1922,0.374116685467086,0.22065,2,0.397187459033435
"TCGA-DQ-5624-01A",2.2335,1.3185,0.0052,0.4139,1.403,0,0.9128,1.3522,1.2367,0.5198,2.5961,1.403,0.670791245683357,1.81825,6,0.132775005919463
"TCGA-DQ-5625-01A",0.2483,0.2023,0,0.0928,0.2521,0,0.5374,0.2869,0.1048,0.0294,0.3326,0.5374,-1.11391205983633,0.39285,2,0.0956661750666608
"TCGA-DQ-5629-01A",1.4191,1.2123,0,0.5197,1.319,0,1.2221,1.0084,1.7106,0.4076,1.8963,1.7106,-0.269526189452678,1.56485,6,0.788675204313353
"TCGA-DQ-5630-01A",0.7757,0.5314,0,0.2047,0.4645,0,0.7935,0.5675,0.1818,0.0796,0.9707,0.7935,-0.0327314214151606,0.7846,4,0.790951717100558
"TCGA-DQ-5631-01A",4.3359,3.677,0.0713,1.0959,2.8226,0,3.7629,3.8381,4.0298,1.635,5.6035,4.0298,0.10562324461321,4.18285,8,0.770799186328311
"TCGA-DQ-7588-01A",2.9293,1.9577,0,0.5476,1.0534,0,1.0736,0.9478,2.0061,1.0074,3.5925,2.0061,0.546162429145847,2.4677,7,0.0922643200162725
"TCGA-DQ-7591-01A",0.1439,0.0945,0,0.0341,0.2025,0,0.234,0.1115,0.0606,0.034,0.1883,0.234,-0.701441937730469,0.18895,1,0.629357825393801
"TCGA-DQ-7592-01A",1.1687,1.0936,0,0.4458,1.0445,0,1.2286,1.0997,0.9928,0.4084,1.6298,1.2286,-0.0721106443083814,1.19865,5,0.906647838237246
"TCGA-F7-7848-01A",12.9641,0.2066,0,0.0112,0,0,0,0,0.0562,0.0682,9.8903,0.2066,5.97153798976869,6.58535,8,2.34496414517282e-14
"TCGA-H7-7774-01A",0.1105,0.1088,0,0.0192,0.0943,0,0.1368,0.0645,0.109,0.0808,0.1626,0.1368,-0.308021860607104,0.12365,1,0.879223583656362
"TCGA-HD-7229-01A",2.4421,2.4032,0.0282,0.4074,1.6985,0,1.4841,1.7417,2.7666,1.2839,3.5976,2.7666,-0.179991794046914,2.60435,7,0.895068408344455
"TCGA-HD-7753-01A",1.5429,1.3913,0.0054,0.8704,1.5592,0.0047,1.7107,1.2711,1.6691,0.6713,2.1806,1.7107,-0.148942221658994,1.6268,6,0.967386119669392
"TCGA-HD-7754-01A",0.0295,0.0511,0,0.0245,0.1244,0,0.067,0,0.0434,0.0244,0.0638,0.1244,-2.0761996258814,0.07695,1,0.10139207148642
"TCGA-HD-7831-01A",2.8976,2.4433,0.0089,0.9873,3.1066,0,2.3824,1.7675,2.2592,0.8329,3.8114,3.1066,-0.100478043304447,3.0021,7,0.946661673941217
"TCGA-HD-7832-01A",0.4024,0.4464,0,0.1417,0.4141,0,0.2378,0.3893,0.2872,0.188,0.6027,0.4464,-0.149706722023661,0.4244,3,0.968862996528094
"TCGA-IQ-7630-01A",1.8851,1.1203,0,0.2399,0.7357,0,0.906,0.9153,0.9394,0.3495,2.1306,1.1203,0.750755940300885,1.5027,5,0.0618004096649584
"TCGA-IQ-7631-01A",0.9184,0.1826,0,0.0331,0.1729,0,0.2511,0.2577,0.3081,0.1235,0.8269,0.3081,1.57572395963634,0.61325,3,0.00309303792657928
"TCGA-IQ-7632-01A",0.6043,0.2736,0,0.1422,0.3012,0,0.274,0.2611,0.3854,0.174,0.6883,0.3854,0.64890837040395,0.49485,3,0.177562522752927
